ID Estacion,Autoridad Ambiental,Estación,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),Año,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Máximo,Fechas/horas del máximo,Mínimo,Fechas/horas del mínimo,Días de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estación
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,HAire10,perc,1,2020,75.5,640908.026,8493,97.0,0,0.0,80.0,96.7,100.0,2020-11-16 11:00:00.000000000,18.5,2020-01-10 04:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,HAire10,perc,24,2020,75.5,26714.16,354,97.0,0,0.0,77.1,87.9,90.7,2020-07-25 12:00:00.000000000,53.5,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,PLiquida,mm,1,2020,0.1,981.74,8711,99.0,0,0.0,0.0,1.6,10.3,2020-11-05 12:00:00.000000000,0.0,2020-01-05 01:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,PLiquida,mm,24,2020,2.7,981.74,363,99.0,0,0.0,1.1,14.6,18.5,2020-11-04 12:00:00.000000000,0.0,2020-01-03 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,P,mmHg,1,2020,627.3,5463443.899,8709,99.0,0,0.0,627.5,629.6,631.7,2020-01-05 09:00:00.000000000,623.2,2020-02-17 04:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,P,mmHg,24,2020,627.3,227721.91,363,99.0,0,0.0,627.4,628.7,629.5,2020-01-05 12:00:00.000000000,625.1,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,TAire10,Celsius,1,2020,20.8,181243.8324,8709,99.0,0,0.0,20.0,28.2,30.5,2020-03-05 03:00:00.000000000,14.3,2020-01-23 07:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,TAire10,Celsius,24,2020,20.8,7554.43,363,99.0,0,0.0,20.8,23.4,24.2,2020-05-09 12:00:00.000000000,17.8,2020-07-25 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,VViento,ms,1,2020,1.2,10553.4,8705,99.0,0,0.0,1.0,3.4,7.9,2020-07-01 10:00:00.000000000,0.0,2020-02-24 09:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,VViento,ms,24,2020,1.2,440.08,363,99.0,0,0.0,1.2,1.7,1.9,2020-01-18 12:00:00.000000000,0.7,2020-05-30 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,DViento,deg,1,2020,89.0,1019492.0,8633,98.0,0,0.0,89.0,343.0,359.0,2020-01-04 09:00:00.000000000,0.0,2020-01-06 11:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,DViento,deg,24,2020,74.8,29688.68,359,98.0,0,0.0,74.8,212.1,355.2,2020-06-12 12:00:00.000000000,13.2,2020-09-08 12:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,HAire10,perc,1,2020,79.1,666542.9248,8429,96.0,0,0.0,84.4,97.2,99.1,2020-03-23 06:00:00.000000000,19.3,2020-01-10 04:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,HAire10,perc,24,2020,79.1,27753.32,351,96.0,0,0.0,80.4,89.2,93.1,2020-05-30 12:00:00.000000000,57.7,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,PLiquida,mm,1,2020,0.1,840.58,8783,100.0,0,0.0,0.0,1.4,10.8,2020-04-19 04:00:00.000000000,0.0,2020-01-05 04:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,PLiquida,mm,24,2020,2.3,840.58,366,100.0,0,0.0,0.7,12.9,21.0,2020-11-13 12:00:00.000000000,0.0,2020-01-01 12:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,P,mmHg,1,2020,649.3,5613307.207,8645,98.0,0,0.0,649.5,651.7,653.7,2020-01-05 09:00:00.000000000,644.5,2020-08-13 04:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
29501.0,AMVA,PARQUE LAS AGUAS,6.406714,-75.419487,P,mmHg,24,2020,649.3,233752.92,360,98.0,0,0.0,649.3,650.8,652.0,2020-01-05 12:00:00.000000000,647.0,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,BARBOSA,Fija
